Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
CUST1062,47,119661,702030,375,48,No
CUST1063,33,130828,769874,652,12,No
CUST1064,41,36821,206324,801,60,No
CUST1065,52,135715,118201,353,12,Yes
CUST1066,27,111541,751593,527,48,No
CUST1067,33,142325,321794,565,12,Yes
CUST1068,31,31157,311425,799,24,No
CUST1069,56,114633,466806,597,24,Yes
CUST1070,46,85191,105725,578,12,No
CUST1071,53,40362,266747,558,36,Yes
CUST1072,23,91898,751173,820,60,No
CUST1073,21,116568,242557,898,60,No
CUST1074,33,95475,145952,801,12,No
CUST1075,45,54935,648913,670,60,No
CUST1076,53,127432,56967,833,24,No
CUST1077,60,47606,352065,540,48,Yes
CUST1078,48,83396,763362,717,48,Yes
CUST1079,35,26970,489408,599,24,Yes
CUST1080,21,147629,332104,647,36,No
CUST1081,28,70411,360625,502,48,Yes
CUST1082,31,65861,777341,773,36,No
CUST1083,52,91983,279767,700,36,No
CUST1084,57,90324,787473,900,24,No
CUST1085,49,110262,681720,657,60,No
CUST1086,46,94122,385674,677,48,Yes
CUST1087,35,48103,407306,897,48,Yes
CUST1088,30,103412,350398,342,12,Yes
CUST1089,31,54680,205735,745,60,No
CUST1090,36,46552,410619,540,48,Yes
CUST1091,23,100027,480263,399,48,No
CUST1092,57,43601,408836,578,48,Yes
CUST1093,39,75899,510061,638,60,No
CUST1094,53,27618,608924,613,48,Yes
CUST1095,43,105878,666985,854,48,No
CUST1096,45,138300,596318,592,36,No
CUST1097,40,106378,617243,370,48,Yes
CUST1098,45,43120,596745,623,60,Yes
CUST1099,27,110875,520708,615,60,Yes
CUST1100,42,42283,583491,379,36,No
CUST1101,38,46510,674247,853,12,Yes
CUST1102,40,125722,458507,717,24,No
CUST1103,49,120422,653051,876,24,No
CUST1104,60,117147,225756,678,60,Yes
CUST1105,27,72563,507857,851,12,No
CUST1106,29,143357,725045,354,24,Yes
CUST1107,38,88427,730422,343,60,Yes
CUST1108,60,94574,121529,616,48,Yes
CUST1109,57,127096,165115,373,60,No
CUST1110,56,89969,465115,644,48,No
CUST1111,21,131171,205296,347,12,Yes
CUST1112,43,107212,478118,488,24,Yes
CUST1113,39,66601,99985,753,48,No
CUST1114,58,72641,587955,414,12,No
CUST1115,54,145828,454553,355,60,Yes
CUST1116,49,107418,246728,552,12,No
CUST1117,44,111093,229355,517,36,No
CUST1118,50,70648,135935,502,48,No
CUST1119,36,111497,155284,649,12,Yes
CUST1120,52,92257,293846,646,24,No
CUST1121,25,62080,62408,832,24,No
CUST1122,26,37503,495689,693,36,No
CUST1123,33,38826,256623,790,48,No
CUST1124,22,56072,56039,319,48,Yes
CUST1125,22,66398,480395,540,12,Yes
CUST1126,55,136526,261118,544,24,Yes
CUST1127,44,105514,651462,703,24,Yes
CUST1128,21,111694,321254,730,36,Yes
CUST1129,29,138792,462484,884,24,No
CUST1130,31,142739,279844,669,12,Yes
CUST1131,38,121489,139860,717,12,No
CUST1132,56,46174,109681,447,36,No
CUST1133,22,21374,366790,365,48,Yes
CUST1134,56,70643,109760,698,48,Yes
CUST1135,22,138274,450762,686,48,No
CUST1136,25,63428,202911,440,48,Yes
CUST1137,50,134303,277203,649,48,No
CUST1138,38,137743,588091,443,36,Yes
CUST1139,55,141091,377935,590,48,Yes
CUST1140,34,78195,349980,493,60,Yes
CUST1141,51,71661,68766,818,24,No
CUST1142,36,96643,345255,844,24,No
CUST1143,59,136526,418123,436,36,No
CUST1144,30,51976,183195,531,24,Yes
CUST1145,22,49221,648046,575,24,Yes
CUST1146,60,55525,329808,346,36,No
CUST1147,41,142033,419514,613,60,No
CUST1148,36,94676,304169,373,60,Yes
CUST1149,54,50135,275352,609,60,No
CUST1150,41,102033,569723,328,24,No
CUST1151,39,91133,350107,698,12,No
CUST1152,58,57534,669070,808,48,No
CUST1153,30,89280,521901,340,60,Yes
CUST1154,57,82234,483016,469,48,No
CUST1155,40,29003,429843,703,60,No
CUST1156,22,82588,50802,565,12,Yes
CUST1157,55,52851,53243,550,60,Yes
CUST1158,59,87856,710018,573,36,No
CUST1159,24,78403,167443,349,48,Yes
CUST1160,59,144998,216044,471,12,Yes
CUST1161,25,142622,749084,824,48,No
CUST1162,27,122974,55597,512,60,No
CUST1163,40,125008,88868,542,48,Yes
CUST1164,29,129825,617392,683,24,Yes
CUST1165,57,80416,71111,779,36,No
CUST1166,54,89048,215310,784,60,No
CUST1167,43,145818,138796,521,60,Yes
CUST1168,60,140554,98411,862,12,No
CUST1169,25,141109,272289,765,60,No
CUST1170,36,45650,217269,378,36,Yes
CUST1171,49,51716,309506,575,12,Yes
CUST1172,29,31183,371471,896,24,No
CUST1173,30,80398,658604,469,24,Yes
CUST1174,55,100688,251112,369,36,Yes
CUST1175,24,24172,174012,737,60,No
CUST1176,52,42444,324891,765,48,No
CUST1177,37,107277,623416,629,48,No
CUST1178,58,100105,791788,846,36,No
CUST1179,26,91984,301854,540,36,No
CUST1180,55,33099,503188,521,48,Yes
CUST1181,24,121794,610274,494,60,Yes
CUST1182,53,117482,69618,675,24,Yes
CUST1183,36,36695,309287,438,48,No
CUST1184,46,43865,68126,837,60,No
CUST1185,59,131911,691987,889,24,Yes
CUST1186,25,121356,449013,606,24,No
CUST1187,45,94773,156961,312,24,Yes
CUST1188,33,114599,479338,823,36,No
CUST1189,44,60342,466867,597,48,Yes
CUST1190,25,50253,231961,449,24,Yes
CUST1191,57,140733,686923,576,60,Yes
CUST1192,58,148022,441349,459,48,Yes
CUST1193,33,81664,349964,828,60,Yes
CUST1194,25,88012,332976,859,60,Yes
CUST1195,41,133538,691172,567,24,Yes
CUST1196,53,70190,703747,757,24,No
CUST1197,59,126789,470313,811,24,No
CUST1198,49,99176,493228,310,24,Yes
CUST1199,43,119813,473393,578,60,No
CUST1200,29,146049,509752,375,48,No
CUST1201,28,143414,556373,303,48,Yes
CUST1202,37,100194,91629,542,36,No
CUST1203,46,148385,450063,654,60,No
CUST1204,52,130991,260924,653,12,Yes
CUST1205,60,34732,562157,876,60,No
CUST1206,33,67528,151359,873,24,No
CUST1207,47,28401,270409,531,48,No
CUST1208,31,87485,706859,563,12,No
CUST1209,34,145136,228264,497,36,Yes
CUST1210,47,28710,467052,563,24,No
CUST1211,55,97400,93439,889,24,No
CUST1212,30,105821,356995,533,48,No
CUST1213,32,44592,121895,791,24,No
CUST1214,24,86592,586417,822,12,No
CUST1215,52,73666,452696,352,12,Yes
CUST1216,33,58636,725288,751,36,Yes
CUST1217,48,71031,771320,369,48,Yes
CUST1218,24,25649,149788,318,36,Yes
CUST1219,43,93582,218133,501,24,Yes
CUST1220,39,110372,309340,631,12,No
CUST1221,36,111960,618325,449,12,No
CUST1222,40,103866,744261,773,60,No
CUST1223,32,24907,402219,735,60,No
CUST1224,40,93207,568943,877,36,Yes
CUST1225,22,76382,729033,395,60,No
CUST1226,48,34513,525184,723,36,No
CUST1227,31,125542,442332,556,48,Yes
CUST1228,29,40865,262937,851,60,Yes
CUST1229,48,69427,168847,398,48,Yes
CUST1230,27,21291,799515,766,36,No
CUST1231,24,97299,168947,822,24,No
CUST1232,27,76251,256191,404,36,Yes
CUST1233,53,128036,179002,490,48,No
CUST1234,56,146459,451500,377,36,Yes
CUST1235,27,36247,731395,770,12,No
CUST1236,23,104927,702129,672,24,No
CUST1237,47,91917,517348,349,36,No
CUST1238,45,127974,133530,678,24,No
CUST1239,32,74608,317884,806,12,No
CUST1240,50,78506,679295,577,12,Yes
CUST1241,42,131587,562533,699,24,No
CUST1242,45,120094,336325,796,12,No
CUST1243,23,133272,145801,545,12,Yes
CUST1244,57,105295,465125,850,12,No
CUST1245,56,40858,481934,615,12,Yes
CUST1246,33,96724,349385,417,24,Yes
CUST1247,60,143969,270284,432,12,No
CUST1248,57,45017,352692,352,24,No
CUST1249,26,52668,615238,800,12,No
CUST1250,51,59691,155566,752,24,No
CUST1251,55,56828,448740,445,24,No
CUST1252,46,82672,691070,560,60,Yes
CUST1253,28,75717,586296,315,12,Yes
CUST1254,44,83930,201423,354,12,Yes
CUST1255,41,35541,668710,435,60,Yes
CUST1256,38,24225,636533,469,12,Yes
CUST1257,38,48633,331972,374,24,Yes
CUST1258,22,60857,699155,856,60,No
CUST1259,36,117027,590122,346,36,Yes
CUST1260,29,140793,417068,827,36,Yes
CUST1261,23,53179,268365,576,24,No
CUST1262,31,24218,695669,444,36,No
CUST1263,28,24334,784578,875,36,No
CUST1264,52,112502,369275,307,12,No
CUST1265,52,111388,238254,848,60,No
CUST1266,41,34100,278750,721,24,No
CUST1267,22,87432,427654,740,36,No
CUST1268,42,22797,427693,722,60,No
CUST1269,47,29263,420936,753,48,No
CUST1270,57,117066,184220,547,48,Yes
CUST1271,57,136749,411523,384,12,Yes
CUST1272,52,65287,291881,450,48,Yes
CUST1273,35,101256,128083,507,12,Yes
CUST1274,52,73248,281102,325,24,Yes
CUST1275,26,149329,487287,455,48,Yes
CUST1276,44,23718,769234,689,48,Yes
CUST1277,56,149145,178044,506,48,No
CUST1278,59,138838,419412,741,60,No
CUST1279,45,130970,325678,577,36,Yes
CUST1280,24,54055,660498,472,36,Yes
CUST1281,37,88040,299813,770,24,No
CUST1282,39,87616,574699,756,48,No
CUST1283,53,41737,418141,805,48,No
CUST1284,30,85078,259227,892,24,No
CUST1285,25,142915,268344,309,24,No
CUST1286,52,98426,763779,810,60,No
CUST1287,41,82681,170041,854,48,No
CUST1288,49,139759,65090,648,48,No
CUST1289,54,87334,557114,304,36,No
CUST1290,30,107398,399768,506,48,Yes
CUST1291,56,108910,678112,466,60,Yes
CUST1292,37,25381,420627,419,12,Yes
CUST1293,39,115496,513935,789,48,No
CUST1294,39,121509,95284,393,36,Yes
CUST1295,52,72631,677355,736,48,No
CUST1296,46,124376,73771,397,48,No
CUST1297,46,48362,171026,764,60,No
CUST1298,47,139675,571004,699,60,Yes
CUST1299,58,25278,420183,356,48,No
CUST1300,52,20965,625517,619,36,Yes
CUST1301,41,83258,785483,464,24,Yes
CUST1302,39,98902,708025,494,12,Yes
CUST1303,32,87997,773855,569,36,No
CUST1304,36,138673,309465,351,24,Yes
CUST1305,21,77599,464689,705,48,Yes
CUST1306,54,67624,658397,347,36,Yes
CUST1307,59,71969,581392,658,60,Yes
CUST1308,48,81720,329108,688,60,No
CUST1309,57,123182,208629,484,12,No
CUST1310,29,123528,770755,544,12,No
CUST1311,50,138478,273235,560,36,Yes
CUST1312,57,101674,558034,338,36,No
CUST1313,38,66622,741461,535,12,Yes
CUST1314,48,123778,283482,570,60,No
CUST1315,22,50254,297922,706,48,No
CUST1316,58,93765,212233,855,12,No
CUST1317,35,126407,683241,432,60,Yes
CUST1318,57,70994,364116,346,60,No
CUST1319,51,91701,171198,317,12,Yes
CUST1320,35,27804,74489,436,24,Yes
CUST1321,30,148578,103760,813,48,No
CUST1322,57,63611,133459,729,48,No
CUST1323,58,112138,448187,498,36,Yes
CUST1324,45,148027,517744,519,12,Yes
CUST1325,22,30371,418980,696,12,Yes
CUST1326,43,103093,480510,802,12,Yes
CUST1327,42,149625,515739,501,60,Yes
CUST1328,25,93636,547039,691,48,No
CUST1329,51,95027,708087,343,36,Yes
CUST1330,21,121513,723478,561,36,Yes
CUST1331,25,70796,781729,745,24,No
CUST1332,34,146968,685981,743,12,No
CUST1333,51,121979,534450,424,60,Yes
CUST1334,41,47412,337517,649,24,No
CUST1335,46,144136,769191,851,48,No
CUST1336,57,41763,184985,317,12,No
CUST1337,38,75450,779603,652,48,Yes
CUST1338,42,24597,230107,512,48,Yes
CUST1339,39,47358,649133,373,60,Yes
CUST1340,54,72601,434081,463,36,No
CUST1341,27,41806,199361,493,36,No
CUST1342,22,65787,684178,675,48,No
CUST1343,26,68666,164257,437,24,No
CUST1344,51,83445,100036,549,24,Yes
CUST1345,50,131389,85235,360,24,No
CUST1346,48,83752,776636,646,24,No
CUST1347,22,90578,398739,397,60,Yes
CUST1348,31,41247,430392,538,36,Yes
CUST1349,50,71191,709454,710,24,No
CUST1350,46,36779,780132,812,48,Yes
CUST1351,29,50499,467034,547,12,No
CUST1352,57,59110,424689,491,12,Yes
CUST1353,29,63910,202295,668,36,No
CUST1354,49,138109,501606,558,12,Yes
CUST1355,59,91482,702527,570,48,Yes
CUST1356,32,142763,479617,521,12,Yes
CUST1357,48,52191,241802,538,12,Yes
CUST1358,33,76443,114046,502,60,No
CUST1359,50,78834,466087,383,48,No
CUST1360,33,51610,114666,466,60,No
CUST1361,37,29806,198095,476,36,Yes
CUST1362,32,147421,355310,689,36,No
CUST1363,47,96944,97477,459,36,Yes
CUST1364,38,110086,559262,637,36,Yes
CUST1365,58,23531,654424,338,48,Yes
CUST1366,26,51334,626972,543,12,No
CUST1367,30,56239,604999,565,24,Yes
CUST1368,47,108225,460232,403,24,Yes
CUST1369,47,66149,337262,779,24,No
CUST1370,58,56715,738778,505,24,Yes
CUST1371,28,138280,523436,414,12,No
CUST1372,58,138593,483207,680,48,Yes
CUST1373,27,51200,724975,745,12,No
CUST1374,48,68908,270265,777,36,Yes
CUST1375,22,83148,333603,398,36,No
CUST1376,40,59340,142188,383,48,No
CUST1377,42,31501,99135,376,24,Yes
CUST1378,43,114436,318905,842,48,No
CUST1379,55,147728,169333,366,24,No
CUST1380,24,135904,531645,684,24,Yes
CUST1381,46,116294,114472,652,36,No
CUST1382,43,100718,787979,352,36,Yes
CUST1383,21,139269,140700,751,24,Yes
CUST1384,46,48857,154314,416,60,No
CUST1385,34,89762,688282,865,60,No
CUST1386,57,97695,142453,516,48,Yes
CUST1387,56,128882,514922,425,60,No
CUST1388,46,83841,258725,897,48,No
CUST1389,31,132742,144816,563,48,Yes
CUST1390,31,134316,577882,611,48,No
CUST1391,54,75997,599856,642,48,Yes
CUST1392,23,36260,626309,486,24,No
CUST1393,28,94458,214757,384,60,Yes
CUST1394,58,141756,737757,875,24,Yes
CUST1395,41,149639,661088,805,24,No
CUST1396,57,108753,725054,860,12,No
CUST1397,23,52162,200516,703,36,No
CUST1398,26,50244,105621,473,48,Yes
CUST1399,58,46915,263819,750,48,No
CUST1400,37,140196,465674,731,24,No
CUST1401,51,30453,432549,653,36,No
CUST1402,30,76319,672879,818,48,No
CUST1403,22,25727,496230,748,36,No
CUST1404,33,46137,646051,548,36,Yes
CUST1405,59,53046,303445,332,60,Yes
CUST1406,28,126970,290364,832,48,No
CUST1407,56,99790,681807,746,60,No
CUST1408,43,144191,539561,556,24,No
CUST1409,31,124297,236860,782,24,Yes
CUST1410,28,34894,567093,454,60,Yes
CUST1411,47,45287,502734,811,12,No
CUST1412,41,146205,122623,489,36,Yes
CUST1413,35,47952,612954,569,12,No
CUST1414,54,80080,451179,626,12,Yes
CUST1415,25,64748,226156,821,12,No
CUST1416,39,122338,235949,479,36,Yes
CUST1417,33,22915,589772,882,24,No
CUST1418,24,27004,203638,808,48,No
CUST1419,26,78352,373502,855,12,No
CUST1420,26,53666,96730,558,48,Yes
CUST1421,38,34895,374884,539,36,Yes
CUST1422,23,110812,287127,683,24,No
CUST1423,35,28444,265019,646,24,No
CUST1424,49,121670,793411,629,36,No
CUST1425,34,52859,675161,372,60,Yes
CUST1426,34,43345,192756,605,12,No
CUST1427,33,75108,673087,768,48,No
CUST1428,37,108087,114518,802,36,No
CUST1429,56,105636,314895,400,12,Yes
CUST1430,60,30180,425992,312,60,Yes
CUST1431,39,65103,578707,305,24,Yes
CUST1432,51,109381,259064,301,48,Yes
CUST1433,42,96548,477296,379,12,No
CUST1434,31,35484,109887,300,24,No
CUST1435,21,58890,604763,726,36,No
CUST1436,48,54993,528729,496,60,Yes
CUST1437,37,74885,587572,770,48,No
CUST1438,23,22246,448775,443,12,No
CUST1439,27,114086,209853,899,48,Yes
CUST1440,47,32833,314944,543,36,No
CUST1441,58,65886,494636,416,48,Yes
CUST1442,33,106456,574417,348,48,No
CUST1443,54,103103,92411,577,24,No
CUST1444,38,83097,584298,751,60,No
CUST1445,37,32428,764802,839,12,Yes
CUST1446,41,36969,685204,330,36,Yes
CUST1447,45,54423,795187,547,36,Yes
CUST1448,54,116746,326086,440,24,No
CUST1449,43,125825,152027,798,24,Yes
CUST1450,35,137972,227870,388,24,Yes
CUST1451,45,94714,797663,785,48,No
CUST1452,29,104250,186746,672,36,Yes
CUST1453,41,129994,185694,733,60,Yes
CUST1454,45,21499,399463,443,24,Yes
CUST1455,59,105597,769900,571,60,No
CUST1456,40,80238,784640,761,60,No
CUST1457,52,36370,210908,458,48,No
CUST1458,34,93178,296490,886,12,No
CUST1459,51,116700,691984,414,60,Yes
CUST1460,26,51344,327145,437,24,Yes
CUST1461,28,93514,424903,433,36,Yes
CUST1462,31,148209,452668,432,48,Yes
CUST1463,41,110890,384448,528,36,Yes
CUST1464,23,132550,546095,540,24,Yes
CUST1465,29,107666,314314,306,24,No
CUST1466,51,52166,301112,759,60,No
CUST1467,28,48571,173820,365,24,Yes
CUST1468,58,140037,116337,396,60,Yes
CUST1469,37,140685,86180,536,36,Yes
CUST1470,36,91917,781659,526,48,Yes
CUST1471,60,60014,53225,652,60,No
CUST1472,41,133828,143588,793,24,No
CUST1473,30,85718,77928,762,12,No
CUST1474,51,35020,194914,845,12,No
CUST1475,29,67461,688663,589,12,Yes
CUST1476,23,61211,139563,600,24,No
CUST1477,59,67706,607694,533,60,No
CUST1478,26,26273,510018,787,48,No
CUST1479,22,129722,56176,480,12,Yes
CUST1480,34,80552,547218,611,24,Yes
CUST1481,59,24628,139284,334,36,Yes
CUST1482,45,57322,255656,748,12,No
CUST1483,21,33749,663770,501,48,Yes
CUST1484,47,20474,190005,592,12,Yes
CUST1485,23,88740,719972,560,60,Yes
CUST1486,52,101199,96199,698,36,Yes
CUST1487,48,107401,686654,605,60,Yes
CUST1488,42,145693,566794,585,48,Yes
CUST1489,40,77359,401261,781,24,No
CUST1490,21,123515,779596,602,36,No
CUST1491,23,49459,526948,516,48,Yes
CUST1492,39,111136,499265,553,60,Yes
CUST1493,54,109666,741881,497,36,No
CUST1494,36,136149,290561,891,48,No
CUST1495,37,110574,214476,398,48,Yes
CUST1496,23,85505,350049,408,24,Yes
CUST1497,38,74637,409097,543,36,Yes
CUST1498,50,130831,775286,734,12,No
CUST1499,45,38823,732280,533,60,Yes
CUST1500,40,31894,56523,526,36,Yes
CUST1501,48,128812,258647,490,60,Yes
CUST1502,34,33156,376828,697,60,Yes
CUST1503,60,28439,685290,406,24,Yes
CUST1504,21,103251,100019,339,60,No
CUST1505,45,61252,616564,806,36,No
CUST1506,39,136310,503162,312,36,Yes
CUST1507,21,60597,532545,810,24,No
CUST1508,41,54524,796527,835,36,Yes
CUST1509,60,74822,675882,405,48,Yes
CUST1510,44,54924,113005,841,24,No
CUST1511,24,41205,466264,585,60,No
CUST1512,36,24229,629783,841,24,No
CUST1513,44,75917,576431,315,24,No
CUST1514,59,113568,627312,354,60,Yes
CUST1515,38,149312,65031,327,60,No
CUST1516,46,109000,443062,419,60,No
CUST1517,24,36189,178826,635,24,No
CUST1518,58,38360,480507,608,36,No
CUST1519,38,48108,521373,423,12,No
CUST1520,55,26742,86300,665,60,No
CUST1521,45,35226,579240,514,24,Yes
CUST1522,43,144513,556807,711,60,Yes
CUST1523,30,115195,336566,558,24,Yes
CUST1524,30,74754,443622,868,24,No
CUST1525,44,125555,473794,608,60,No
CUST1526,44,149285,296287,611,24,No
CUST1527,35,78325,424130,443,12,No
CUST1528,37,116753,398515,326,24,No
CUST1529,42,88490,269887,664,48,Yes
CUST1530,34,113607,74810,373,48,No
CUST1531,51,116567,745060,839,12,No
CUST1532,35,82310,153865,822,48,No
CUST1533,39,89266,509564,697,60,Yes
CUST1534,24,54842,180514,599,36,Yes
CUST1535,23,94880,642297,757,48,No
CUST1536,37,98003,622368,627,60,Yes
CUST1537,51,99074,361774,672,48,Yes
CUST1538,22,72446,72921,455,12,Yes
CUST1539,28,98263,792235,631,36,Yes
CUST1540,30,100999,204918,584,60,Yes
CUST1541,47,130226,698523,810,24,No
CUST1542,47,133867,150720,794,24,Yes
CUST1543,37,71155,86208,384,12,Yes
CUST1544,47,30057,223636,393,60,Yes
CUST1545,46,131738,690073,818,12,No
CUST1546,27,107010,468160,523,36,No
CUST1547,57,124634,456324,615,60,No
CUST1548,44,39475,709567,330,12,Yes
CUST1549,45,79713,98952,714,60,Yes
CUST1550,45,125018,653552,382,48,No
CUST1551,58,136513,430217,487,48,Yes
CUST1552,46,50668,529552,346,12,Yes
CUST1553,32,91953,127482,676,12,Yes
CUST1554,42,112432,487669,581,48,Yes
CUST1555,53,82652,705673,816,12,No
CUST1556,25,44694,767632,795,60,No
CUST1557,45,85264,296272,400,24,Yes
CUST1558,38,22453,90351,862,36,No
CUST1559,25,148951,263182,508,36,No
CUST1560,50,86203,138158,579,36,Yes
CUST1561,56,77462,363606,815,60,No
CUST1562,42,51009,766477,535,12,Yes
CUST1563,46,116175,199883,388,48,No
CUST1564,36,89889,328001,468,24,Yes
CUST1565,60,55744,53251,434,60,Yes
CUST1566,38,27475,290103,510,24,Yes
CUST1567,31,41533,746908,592,48,Yes
CUST1568,36,122287,456222,582,36,Yes
CUST1569,40,118922,775071,880,24,No
CUST1570,48,149765,500544,428,48,Yes
CUST1571,25,52349,539338,530,36,No
CUST1572,29,47356,495126,406,12,Yes
CUST1573,39,98246,210168,490,24,Yes
CUST1574,54,108611,206341,328,60,Yes
CUST1575,27,67676,170266,405,12,Yes
CUST1576,38,26588,63792,621,60,No
CUST1577,51,61556,376666,307,48,Yes
CUST1578,46,140908,455143,391,48,Yes
CUST1579,56,40181,122594,704,24,No
CUST1580,47,112737,137354,587,12,Yes
CUST1581,48,145729,719685,347,48,Yes
CUST1582,29,77791,115031,744,60,No
CUST1583,58,111561,118117,895,48,Yes
CUST1584,32,63665,644238,785,24,No
CUST1585,25,123532,308552,697,24,Yes
CUST1586,38,145979,613279,550,60,No
CUST1587,40,118239,144243,821,60,No
CUST1588,30,86370,772024,388,36,Yes
CUST1589,51,100222,520955,591,48,Yes
CUST1590,35,76968,297441,607,36,No
CUST1591,38,136416,721145,612,24,Yes
CUST1592,48,95717,70467,308,36,Yes
CUST1593,45,124852,182415,390,60,Yes
CUST1594,47,42852,420024,870,48,No
CUST1595,50,91811,183370,890,12,No
CUST1596,23,105391,218934,712,12,Yes
CUST1597,41,104528,668155,622,24,No
CUST1598,47,61255,597592,674,24,Yes
CUST1599,46,35532,325517,548,12,Yes
CUST1600,51,94353,290649,376,60,Yes
CUST1601,40,78794,252818,667,36,No
CUST1602,58,128234,103044,869,48,No
CUST1603,53,106446,647967,587,24,Yes
CUST1604,38,57834,421336,647,24,No
CUST1605,48,139303,431927,655,24,No
CUST1606,44,56748,201504,513,48,Yes
CUST1607,60,145994,677935,752,48,No
CUST1608,36,82399,225639,461,24,Yes
CUST1609,30,79402,473808,649,36,Yes
CUST1610,22,147610,366307,657,48,No
CUST1611,38,92840,104514,503,24,Yes
CUST1612,23,35735,425358,890,48,No
CUST1613,21,123214,164593,692,24,No
CUST1614,58,66961,552667,881,12,No
CUST1615,41,23576,211386,793,60,No
CUST1616,51,93668,422161,519,24,Yes
CUST1617,27,75045,194444,873,36,No
CUST1618,45,131185,742035,752,48,No
CUST1619,31,32215,132823,618,12,No
CUST1620,52,56947,551721,486,60,Yes
CUST1621,28,30150,217766,435,48,Yes
CUST1622,48,29061,657029,730,60,No
CUST1623,34,30806,483636,814,12,Yes
CUST1624,51,95958,523349,339,36,Yes
CUST1625,52,90673,375354,561,12,Yes
CUST1626,26,81456,293930,307,24,Yes
CUST1627,26,84519,530350,744,48,No
CUST1628,53,96628,163428,336,24,Yes
CUST1629,49,29566,405926,800,12,No
CUST1630,21,37546,351406,414,60,Yes
CUST1631,41,62333,377220,622,36,Yes
CUST1632,39,59249,248409,681,60,Yes
CUST1633,25,50320,787605,436,48,No
CUST1634,53,61226,470840,624,48,No
CUST1635,48,125172,795566,784,60,No
CUST1636,52,55553,681961,465,48,Yes
CUST1637,45,94807,206789,784,36,No
CUST1638,53,108279,649074,573,60,Yes
CUST1639,45,44850,221522,429,48,Yes
CUST1640,21,126697,249506,701,36,No
CUST1641,43,125556,279642,622,48,No
CUST1642,32,118267,96242,672,24,Yes
CUST1643,52,32329,323011,327,12,Yes
CUST1644,33,139336,51453,746,12,No
CUST1645,55,148902,491866,488,12,Yes
CUST1646,37,139549,175285,606,60,Yes
CUST1647,52,25449,256255,868,60,No
CUST1648,47,114604,742041,494,24,No
CUST1649,28,34422,488692,337,24,No
CUST1650,58,54354,112396,403,24,Yes
CUST1651,31,115391,492540,563,12,Yes
CUST1652,38,58193,267713,518,48,Yes
CUST1653,32,43389,85467,606,24,Yes
CUST1654,49,147014,642805,470,36,Yes
CUST1655,24,20040,498716,713,24,No
CUST1656,49,103624,317291,801,60,No
CUST1657,31,42320,373381,644,12,No
CUST1658,59,26662,564485,333,12,Yes
CUST1659,56,125514,556098,617,12,No
CUST1660,56,21136,130475,640,36,No
CUST1661,32,61267,270479,507,48,Yes
CUST1662,55,123801,495421,736,24,No
CUST1663,57,128325,537603,439,48,No
